Date, Revenue , Transactions 
1/1/2017," 9,845.57 ", 50.00 
1/2/2017," 14,545.97 ", 79.00 
1/3/2017," 28,758.28 ", 151.00 
1/4/2017," 19,114.68 ", 101.00 
1/5/2017," 20,763.97 ", 104.00 
1/6/2017," 16,479.41 ", 78.00 
1/7/2017," 6,990.59 ", 38.00 
1/8/2017," 9,194.64 ", 47.00 
1/9/2017," 22,177.06 ", 111.00 
1/10/2017," 16,719.77 ", 71.00 
1/11/2017," 12,415.87 ", 71.00 
1/12/2017," 12,493.48 ", 64.00 
1/13/2017," 17,088.18 ", 90.00 
1/14/2017," 5,548.78 ", 37.00 
1/15/2017," 10,022.50 ", 45.00 
1/16/2017," 14,320.45 ", 65.00 
1/17/2017," 19,914.08 ", 113.00 
1/18/2017," 23,679.42 ", 110.00 
1/19/2017," 16,192.52 ", 91.00 
1/20/2017," 14,989.34 ", 74.00 
1/21/2017," 7,222.80 ", 39.00 
1/22/2017," 12,187.08 ", 68.00 
1/23/2017," 17,092.58 ", 92.00 
1/24/2017," 16,316.32 ", 87.00 
1/25/2017," 13,633.59 ", 83.00 
1/26/2017," 14,459.17 ", 72.00 
1/27/2017," 15,446.67 ", 72.00 
1/28/2017," 6,679.53 ", 31.00 
1/29/2017," 8,328.62 ", 53.00 
1/30/2017," 20,371.67 ", 114.00 
1/31/2017," 18,799.81 ", 94.00 
2/1/2017," 16,416.31 ", 82.00 
2/2/2017," 14,158.59 ", 81.00 
2/3/2017," 12,816.83 ", 70.00 
2/4/2017," 6,066.07 ", 35.00 
2/5/2017," 4,083.81 ", 31.00 
2/6/2017," 18,337.51 ", 90.00 
2/7/2017," 14,508.85 ", 70.00 
2/8/2017," 12,118.31 ", 72.00 
2/9/2017," 14,196.02 ", 69.00 
2/10/2017," 13,806.27 ", 66.00 
2/11/2017," 6,570.72 ", 38.00 
2/12/2017," 5,997.03 ", 51.00 
2/13/2017," 14,414.72 ", 75.00 
2/14/2017," 35,199.42 ", 102.00 
2/15/2017," 11,130.59 ", 66.00 
2/16/2017," 14,016.66 ", 70.00 
2/17/2017," 9,821.55 ", 101.00 
2/18/2017," 6,495.78 ", 41.00 
2/19/2017," 9,290.15 ", 54.00 
2/20/2017," 12,577.29 ", 58.00 
2/21/2017," 20,662.55 ", 79.00 
2/22/2017," 13,508.20 ", 85.00 
2/23/2017," 11,078.41 ", 71.00 
2/24/2017," 14,502.40 ", 66.00 
2/25/2017," 5,201.51 ", 37.00 
2/26/2017," 5,667.74 ", 37.00 
2/27/2017," 16,306.19 ", 81.00 
2/28/2017," 16,046.05 ", 75.00 
3/1/2017," 16,530.76 ", 78.00 
3/2/2017," 13,239.46 ", 75.00 
3/3/2017," 12,815.52 ", 80.00 
3/4/2017," 12,417.17 ", 112.00 
3/5/2017," 7,964.73 ", 59.00 
3/6/2017," 15,581.92 ", 93.00 
3/7/2017," 14,143.66 ", 70.00 
3/8/2017," 11,291.25 ", 58.00 
3/9/2017," 10,849.52 ", 62.00 
3/10/2017," 11,752.96 ", 63.00 
3/11/2017," 6,264.24 ", 38.00 
3/12/2017," 6,073.06 ", 41.00 
3/13/2017," 13,193.04 ", 82.00 
3/14/2017," 11,025.66 ", 79.00 
3/15/2017," 19,903.32 ", 88.00 
3/16/2017," 11,840.93 ", 68.00 
3/17/2017," 9,117.22 ", 58.00 
3/18/2017," 6,731.07 ", 43.00 
3/19/2017," 9,756.30 ", 58.00 
3/20/2017," 22,912.22 ", 104.00 
3/21/2017," 15,710.66 ", 78.00 
3/22/2017," 16,648.14 ", 84.00 
3/23/2017," 16,128.21 ", 59.00 
3/24/2017," 19,825.58 ", 73.00 
3/25/2017," 5,177.22 ", 37.00 
3/26/2017," 8,282.48 ", 47.00 
3/27/2017," 19,234.55 ", 95.00 
3/28/2017," 17,080.13 ", 83.00 
3/29/2017," 17,075.93 ", 103.00 
3/30/2017," 10,220.85 ", 68.00 
3/31/2017," 9,634.71 ", 47.00 
4/1/2017," 5,219.99 ", 34.00 
4/2/2017," 5,192.99 ", 35.00 
4/3/2017," 9,524.58 ", 57.00 
4/4/2017," 10,856.80 ", 71.00 
4/5/2017," 59,008.20 ", 70.00 
4/6/2017," 11,766.11 ", 68.00 
4/7/2017," 20,236.59 ", 68.00 
4/8/2017," 6,306.93 ", 42.00 
4/9/2017," 7,739.64 ", 38.00 
4/10/2017," 14,956.98 ", 79.00 
4/11/2017," 9,566.42 ", 63.00 
4/12/2017," 10,621.50 ", 78.00 
4/13/2017," 16,937.25 ", 84.00 
4/14/2017," 16,308.00 ", 87.00 
4/15/2017," 9,219.15 ", 37.00 
4/16/2017," 6,916.27 ", 46.00 
4/17/2017," 22,315.21 ", 96.00 
4/18/2017," 48,843.88 ", 103.00 
4/19/2017," 15,540.63 ", 81.00 
4/20/2017," 10,286.62 ", 71.00 
4/21/2017," 20,431.14 ", 85.00 
4/22/2017," 8,410.98 ", 43.00 
4/23/2017," 8,029.49 ", 40.00 
4/24/2017," 11,486.37 ", 62.00 
4/25/2017," 9,493.94 ", 68.00 
4/26/2017," 14,961.96 ", 81.00 
4/27/2017," 24,339.61 ", 79.00 
4/28/2017," 9,784.90 ", 98.00 
4/29/2017," 5,212.85 ", 39.00 
4/30/2017," 8,386.42 ", 53.00 
5/1/2017," 20,080.37 ", 131.00 
5/2/2017," 11,022.98 ", 103.00 
5/3/2017," 12,712.01 ", 107.00 
5/4/2017," 10,186.58 ", 82.00 
5/5/2017," 13,273.74 ", 60.00 
5/6/2017," 5,559.16 ", 37.00 
5/7/2017," 7,482.75 ", 39.00 
5/8/2017," 15,841.24 ", 99.00 
5/9/2017," 14,649.86 ", 83.00 
5/10/2017," 10,833.71 ", 66.00 
5/11/2017," 10,311.46 ", 77.00 
5/12/2017," 11,616.53 ", 82.00 
5/13/2017," 7,346.12 ", 50.00 
5/14/2017," 5,447.60 ", 32.00 
5/15/2017," 11,868.31 ", 72.00 
5/16/2017," 14,127.24 ", 86.00 
5/17/2017," 10,618.77 ", 72.00 
5/18/2017," 10,026.32 ", 68.00 
5/19/2017," 16,227.89 ", 83.00 
5/20/2017," 7,402.18 ", 56.00 
5/21/2017," 7,106.17 ", 53.00 
5/22/2017," 14,028.75 ", 82.00 
5/23/2017," 10,920.54 ", 65.00 
5/24/2017," 12,945.29 ", 78.00 
5/25/2017," 11,354.77 ", 73.00 
5/26/2017," 10,682.95 ", 63.00 
5/27/2017," 5,132.46 ", 32.00 
5/28/2017," 1,838.89 ", 18.00 
5/29/2017," 7,419.61 ", 47.00 
5/30/2017," 16,758.25 ", 82.00 
5/31/2017," 23,509.33 ", 117.00 
6/1/2017," 9,667.17 ", 68.00 
6/2/2017," 13,030.72 ", 78.00 
6/3/2017," 6,233.46 ", 40.00 
6/4/2017," 6,676.96 ", 43.00 
6/5/2017," 14,639.82 ", 88.00 
6/6/2017," 10,116.56 ", 63.00 
6/7/2017," 9,807.98 ", 72.00 
6/8/2017," 12,042.59 ", 69.00 
6/9/2017," 11,355.74 ", 67.00 
6/10/2017," 4,527.52 ", 32.00 
6/11/2017," 8,753.86 ", 66.00 
6/12/2017," 22,462.77 ", 110.00 
6/13/2017," 16,163.82 ", 97.00 
6/14/2017," 17,109.11 ", 83.00 
6/15/2017," 10,239.30 ", 60.00 
6/16/2017," 13,369.10 ", 73.00 
6/17/2017," 8,039.96 ", 39.00 
6/18/2017," 8,634.26 ", 54.00 
6/19/2017," 22,904.36 ", 100.00 
6/20/2017," 10,355.43 ", 66.00 
6/21/2017," 18,985.69 ", 81.00 
6/22/2017," 14,663.99 ", 84.00 
6/23/2017," 11,633.52 ", 74.00 
6/24/2017," 5,456.86 ", 33.00 
6/25/2017," 4,643.79 ", 40.00 
6/26/2017," 15,265.29 ", 93.00 
6/27/2017," 13,878.07 ", 81.00 
6/28/2017," 18,433.27 ", 72.00 
6/29/2017," 13,455.58 ", 83.00 
6/30/2017," 11,736.96 ", 69.00 
7/1/2017," 4,861.15 ", 14.00 
7/2/2017," 6,000.62 ", 32.00 
7/3/2017," 7,596.91 ", 47.00 
7/4/2017," 6,520.24 ", 39.00 
7/5/2017," 19,178.65 ", 91.00 
7/6/2017," 13,341.10 ", 79.00 
7/7/2017," 14,170.50 ", 87.00 
7/8/2017," 5,988.93 ", 43.00 
7/9/2017," 6,058.73 ", 48.00 
7/10/2017," 17,561.81 ", 92.00 
7/11/2017," 15,684.83 ", 90.00 
7/12/2017," 11,255.41 ", 88.00 
7/13/2017," 27,513.57 ", 104.00 
7/14/2017," 13,488.13 ", 88.00 
7/15/2017," 7,939.04 ", 38.00 
7/16/2017," 7,336.93 ", 60.00 
7/17/2017," 15,005.07 ", 105.00 
7/18/2017," 41,552.13 ", 98.00 
